"","Site","Study.x","Age","Method","Trees_logged","Vol","MU","VU","SSU","ML","VL","SSL","VarT","ID","Allometry","Region","N_Logged","Plot_size","Vol2","Trees2","Region.x","Minmum.DBH.cut","Lianas.cut","Illegal.Legal","SDU","SDL","yi","vi"
"1","Berry et al 2010a","Berry et al 2010",0,"Conventional",NA,97.2,276,29,10,128.4,39.9,10,"SE",4,"Allometric - no height","Asia & Oceania",1,0.1,97.2,20.15304045,"Asia/Africa",60,NA,"Legal",91.706052144883,91.706052144883,-0.765250474461289,0.0620514705921472
"2","Berry et al 2010b","Berry et al 2010",18,"Conventional",NA,97.2,276,29,10,177,14.4,10,"SE",5,"Allometric - no height","Asia & Oceania",1,0.1,97.2,20.15304045,"Asia/Africa",60,NA,"Legal",91.706052144883,91.706052144883,-0.444251133143321,0.0378843606613898
"3","Bryan et al 2010a","Bryan et al 2010",1,"RIL",NA,10.7,192.96,4.44,3,157.03,4.89,3,"SE",7,"Allometric - height","Asia & Oceania",1,NA,10.7,1.82692606,"Asia/Africa",50,"Yes","Legal",7.69030558560582,7.69030558560582,-0.206046043641958,0.00132892506262939
"4","Bryan et al 2010b","Bryan et al 2010",1,"RIL",NA,10.7,252.41,7,3,171.97,4.51,3,"SE",6,"Allometric - height","Asia & Oceania",1,NA,10.7,1.82692606,"Asia/Africa",50,"Yes","Legal",12.1243556529821,12.1243556529821,-0.383734706537459,0.00242597890812239
"5","d'Oliveira et al 2012a","d'Oliveira et al 2012",1,"Conventional",NA,6.9,198.9,8.5,10,185.1,9,10,"SE",26,"Allometric - no height","Americas",1,1,6.9,1.866581565,"Americas",35,NA,"Legal",26.8793601114312,26.8793601114312,-0.0719059662804748,0.00393503348098966
"6","Gerwing et al 2002a","Gerwing et al 2002",5,"Conventional",5.7,35.3,258,30,3,198,18,3,"SD",12,"Allometric - no height","Americas",1,0.5,35.3,5.7,"Americas",NA,NA,NA,30,30,-0.264692554227082,0.0121592210682136
"7","Gerwing et al 2002b","Gerwing et al 2002",5,"Conventional",10,69,258,30,3,148,10,3,"SD",13,"Allometric - no height","Americas",1,0.5,69,10,"Americas",NA,NA,NA,30,30,-0.555747311157502,0.018203069249654
"8","Gourlet-Fleury et al 2013","Gourlet-Fleury et al 2013",0,"Conventional",5.5,66,386.4253333,68.07363939,12,284.7743333,36.79663974,12,"SD",14,"Allometric - no height","Africa",1,4,66,5.5,"Asia/Africa",80,"Yes","Legal",68.07363939,68.07363939,-0.305241608923129,0.00734794345291903
"9","Imai et al 2013a","Imai et al 2013",8,"RIL",2.36,13.74,499,60,4,341,52,4,"SE",30,"Allometric - no height","Asia & Oceania",1,NA,13.74,2.36,"Asia/Africa",60,"Yes","Legal",120,120,-0.380723618468002,0.045417259334486
"10","Mazzei et al 2010","Mazzei et al 2010",0,"RIL",8.4,21,409.8,64.9,17,315.3647059,44.90907399,17,"SD",19,"Allometric - no height","Americas",1,1,21,8.4,"Americas",55,NA,"Legal",64.9,64.9,-0.261939470200716,0.00396658781341212
"11","Medjibe et al 2011","Medjibe et al 2011",0,"RIL",0.82,8.11,420.4,92.95,10,386.22,109.0794186,10,"SD",20,"Allometric - no height","Africa",1,1,8.11,0.82,"Asia/Africa",NA,NA,"Legal",92.95,92.95,-0.0847994837102164,0.0106804842674873
"12","Medjibe et al 2013a","Medjibe et al 2013",0,"RIL",0.39,5.66,380,86.78,12,353.02,NA,12,"SE",31,"Allometric - no height","Africa",1,1,5.7,0.39,"Asia/Africa",NA,NA,"Legal",300.614738161654,300.614738161654,-0.0736465401682986,0.112580476605563
"13","Medjibe et al 2013a","Medjibe et al 2013",0,"RIL",0.39,5.66,380,86.78,12,353.02,NA,12,"SE",31,"Allometric - no height","Africa",1,1,5.66,0.39,"Asia/Africa",NA,NA,"Legal",300.614738161654,300.614738161654,-0.0736465401682986,0.112580476605563
"14","Medjibe et al 2013b","Medjibe et al 2013",0,"Conventional",0.76,11.38,387.3,81.01,12,335.4018,NA,12,"SE",32,"Allometric - no height","Africa",1,1,11.4,0.76,"Asia/Africa",NA,NA,"Legal",280.62687184231,280.62687184231,-0.143870370419702,0.102087746086577
"15","Medjibe et al 2013b","Medjibe et al 2013",0,"Conventional",0.76,11.38,387.3,81.01,12,335.4018,NA,12,"SE",32,"Allometric - no height","Africa",1,1,11.38,0.76,"Asia/Africa",NA,NA,"Legal",280.62687184231,280.62687184231,-0.143870370419702,0.102087746086577
"16","Pfeifer et al 2013a","Pfeifer et al 2014",10,"Conventional",NA,179,565.1041496,328.677753,9,127.1630665,75.41151032,16,"SD",21,"Allometric - height","Asia & Oceania",2,0.0625,179,NA,"Asia/Africa",NA,NA,"Legal",328.677753,328.677753,-1.49153979869429,0.455127841509482
"17","Pfeifer et al 2013b","Pfeifer et al 2014",10,"Conventional",NA,150,565.1041496,328.677753,9,92.93852309,44.10157135,9,"SD",21,"Allometric - height","Asia & Oceania",2,0.0625,150,NA,"Asia/Africa",NA,NA,"Legal",328.677753,328.677753,-1.80507181720833,1.4272409590618
"18","Pfeifer et al 2013c","Pfeifer et al 2014",10,"Conventional",NA,150,565.1041496,328.677753,9,168.5752185,44.28430042,9,"SD",21,"Allometric - height","Asia & Oceania",2,0.0625,150,NA,"Asia/Africa",NA,NA,"Legal",328.677753,328.677753,-1.20962799895516,0.459974399279325
"19","Pfeifer et al 2013d","Pfeifer et al 2014",10,"Conventional",NA,150,565.1041496,328.677753,9,168.5980573,116.5109326,8,"SD",21,"Allometric - height","Asia & Oceania",2,0.0625,150,NA,"Asia/Africa",NA,NA,"Legal",328.677753,328.677753,-1.20949252677113,0.512644055448123
"20","Pfeifer et al 2013e","Pfeifer et al 2014",10,"Conventional",NA,179,565.1041496,328.677753,9,87.22143687,63.51575997,16,"SD",21,"Allometric - height","Asia & Oceania",2,0.0625,179,NA,"Asia/Africa",NA,NA,"Legal",328.677753,328.677753,-1.86855991336651,0.925099152205569
"21","Pfeifer et al 2013f","Pfeifer et al 2014",10,"Conventional",NA,150,565.1041496,328.677753,9,181.832157,47.29814627,9,"SD",21,"Allometric - height","Asia & Oceania",2,0.0625,150,NA,"Asia/Africa",NA,NA,"Legal",328.677753,328.677753,-1.13392600244408,0.400629179073626
"22","Pfeifer et al 2013g","Pfeifer et al 2014",10,"Conventional",NA,179,565.1041496,328.677753,9,51.29253423,49.33324672,16,"SD",21,"Allometric - height","Asia & Oceania",2,0.0625,179,NA,"Asia/Africa",NA,NA,"Legal",328.677753,328.677753,-2.39946483972692,2.60391624197023
"23","Pfeifer et al 2013h","Pfeifer et al 2014",10,"Conventional",NA,179,565.1041496,328.677753,9,67.34782612,69.93300898,16,"SD",21,"Allometric - height","Asia & Oceania",2,0.0625,179,NA,"Asia/Africa",NA,NA,"Legal",328.677753,328.677753,-2.12713942475559,1.52617172822057
"24","Pfeifer et al 2013i","Pfeifer et al 2014",10,"Conventional",NA,179,565.1041496,328.677753,9,58.76602617,46.16436693,16,"SD",21,"Allometric - height","Asia & Oceania",2,0.0625,179,NA,"Asia/Africa",NA,NA,"Legal",328.677753,328.677753,-2.26344614803664,1.99268285006459
"25","Pfeifer et al 2013j","Pfeifer et al 2014",10,"Conventional",NA,179,565.1041496,328.677753,9,68.78087386,65.25066726,16,"SD",21,"Allometric - height","Asia & Oceania",2,0.0625,179,NA,"Asia/Africa",NA,NA,"Legal",328.677753,328.677753,-2.10608433966369,1.46478868030187
"26","Pinard et al 1996a","Pinard et al 1996",0,"Conventional",NA,154.482125,333.47,40.73364703,4,135.8,20.75198304,4,"SD",23,"Allometric - no height","Asia & Oceania",1,0.16,154.482125,NA,"Asia/Africa",NA,NA,"Legal",40.73364703,40.73364703,-0.898369691162398,0.0262231913785392
"27","Pinard et al 1996b","Pinard et al 1996",0,"RIL",NA,103.5835,327.54,54.0371067,4,211.78,18.6400617,4,"SD",22,"Allometric - no height","Asia & Oceania",1,0.16,103.5835,24.059328,"Asia/Africa",60,"Yes","Legal",54.0371067,54.0371067,-0.436062185019413,0.0230807365612997
"28","Rockwell et al 2014","Rockwell et al 2014",1,"Conventional",2,10,113.9,29.4,5,105.3,32.3,5,"SD",30,"Allometric - no height","Americas",1,0.5,10,2,"Americas",45,NA,NA,29.4,29.4,-0.0785074513132067,0.0289160890778947
"29","Saner et al 2012","Saner et al 2012",0,"Conventional",NA,117.38,256,26.8,4,183.8,5.8,4,"SE",24,"Allometric - no height","Asia & Oceania",1,0.25,117.38,NA,"Asia/Africa",60,NA,NA,53.6,53.6,-0.331329234557976,0.0322202223238288
"30","Sist et al 2012a","Sist et al 2012",1,"Conventional",21,-9999,442.1568,NA,3,236.7577,NA,3,"",27,"Allometric - no height","Americas",1,6.25,80,21,"Americas",55,NA,"Legal",12.84,12.84,-0.624627315003074,0.00126149080443671
"31","Sist et al 2012b","Sist et al 2012",1,"Conventional",10,-9999,406.6035,NA,3,303.1123,NA,3,"",29,"Allometric - no height","Americas",1,6.25,38.82659242,10,"Americas",55,NA,"Legal",12.84,12.84,-0.293735145218886,0.000930542633298366
"32","Tangki et al 2008","Tangki et al 2008",11,"Conventional",NA,101.2,427.495,109.3250955,10,218.31,185.9464001,45,"SD",25,"Allometric - no height","Asia & Oceania",1,0.1,101.2,22.5192644,"Asia/Africa",60,NA,"Legal",109.3250955,109.3250955,-0.67202652137488,0.0121128819596367
